Date,Total
2020,322960803.9
2021,322960386.7
2022,322959832.9
2023,322959130.3
2024,322958320.4
2025,322957094.1
2026,322955836.7
2027,322954469.9
2028,322952769.1
2029,322950914.3
2030,322948886.6
2031,322946882.2
2032,322944563.3
2033,322942192.7
2034,322939401.2
2035,322936478.1
2036,322933591.6
2037,322930308.1
2038,322926911.9
2039,322923337.9
2040,322919575
2041,322915638.7
2042,322911601.9
2043,322907351.5
2044,322902924.7
2045,322898341.6
2046,322893467.7
2047,322888534.5
2048,322883410.1
2049,322878115.9
2050,322872541.4