YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours),Proportion of Energy in Year
2020,NY,Total Electric Power Industry,Coal,1436920,0.001110189
2020,NY,Total Electric Power Industry,Hydroelectric Conventional,295498820,0.228307349
2020,NY,Total Electric Power Industry,Natural Gas,529655930,0.409221062
2020,NY,Total Electric Power Industry,Nuclear,384300760,0.296917218
2020,NY,Total Electric Power Industry,Other Gases,0,0
2020,NY,Total Electric Power Industry,Other,9971380,0.007704056
2020,NY,Total Electric Power Industry,Petroleum,3496510,0.002701462
2020,NY,Total Electric Power Industry,Solar Thermal and Photovoltaic,8399580,0.006489657
2020,NY,Total Electric Power Industry,Other Biomass,14962300,0.011560124
2020,NY,Total Electric Power Industry,Wind,45217260,0.034935614
2020,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,4642730,0.003587051