date,WESTCHESTER,QUEENS,NASSAU,SUFFOLK,NEW York,KINGS,Total
2020,1.970410251,0.570410251,4.168998999,3.019665354,-0.466381932,6.229806277,2727.13435
2021,5.040444913,2.240444913,9.437622409,7.138955119,0.166860547,13.55923696,4686.64128
2022,9.324680075,5.124680075,15.92044632,12.47244538,2.014303524,22.10286815,8027.908377
2023,13.96976814,8.36976814,22.76412313,18.16678855,4.222599406,31.00735224,11779.82608
2024,19.60443739,12.60443739,30.59738113,24.8507129,7.420476474,40.90141752,16657.88717
2025,27.20088323,18.80088323,40.39241571,33.49641384,12.58013013,52.75725938,23768.45002
2026,35.16850375,25.36850374,50.55862498,42.51328946,18.11095846,64.98427592,31301.40965
2027,44.4481405,33.2481405,62.03685048,52.84218132,24.95380303,78.52330871,40327.44376
2028,54.90712172,42.30712172,74.69442045,64.35041765,32.97599207,93.24168595,50695.57188
2029,65.95984235,51.95984235,87.94572982,76.45239337,41.59192051,108.5538026,61739.37543
2030,77.44570915,62.04570915,101.6301854,88.98751528,50.64099514,124.2990654,73276.09934
2031,90.3513471,73.5513471,116.7344121,102.9424083,61.1098409,141.4640994,86428.52281
2032,103.7605791,85.56057913,132.3422328,117.4008955,72.08228075,159.1327275,100154.0363
2033,117.9804586,98.38045862,148.7607011,132.6700301,83.86536806,177.612003,114802.0667
2034,133.4359946,112.4359946,166.4148258,149.1748211,96.88411185,197.326935,130856.2741
2035,150.3505463,127.9505463,185.5279662,167.1386279,111.3618713,218.5008827,148570.8414
2036,167.4292784,143.6292784,204.8052871,185.2666152,126.0038113,239.8390108,166472.2461
2037,185.9957417,160.7957417,225.5703392,204.8823336,142.1334824,262.6648702,186066.6888
2038,204.9885409,178.3885409,246.7617271,224.9243878,158.6894894,285.9170654,206146.3017
2039,224.5956802,196.5956802,268.5674552,245.5807823,175.8598365,309.7836007,226925.0338
2040,246.359001,216.959001,292.5293647,268.3933581,195.1863651,335.8063175,250157.5003
2041,268.7661,237.9661,317.1350524,291.8497122,215.1566719,362.4728125,274122.5864
2042,292.5383712,260.3383712,343.1059124,316.6712386,236.492151,390.5044798,299641.2386
2043,316.7646093,283.1646093,369.5307392,341.9467317,258.2815969,418.9901139,325676.505
2044,341.4766073,306.4766073,396.441326,367.7079849,280.5568028,447.961508,352264.5663
2045,367.3011024,330.9011024,424.4644099,394.5817351,303.9445057,478.0453991,380118.6492
2046,393.473724,355.673724,452.8356201,421.8036117,327.680335,508.4774166,408368.8999
2047,421.7295427,382.5295427,483.2900276,451.1086855,353.4993615,540.9926314,438989.8291
2048,451.2611655,410.6611655,515.0202392,481.6895635,380.5941922,574.7836503,471062.6234
2049,480.5205932,438.5205932,546.4782557,511.9982463,407.4168277,608.302474,502825.6596
2050,511.1521072,467.7521072,579.3083584,543.6790154,435.6115495,643.193384,536150.13