,ID,Station Name,City,State,ZIP,County,latitude_station,longitude_station
4,182295,NYC FLEET DPRMBLOT8_1_L3,Midland Beach,NY,10305,Richmond,40.5973,-74.0768
6,220960,BRT STATION 1,Sunset Park,NY,11220,Kings,40.6412,-74.0133
14,195668,1235 Linden Blvd,Brooklyn,NY,11212,Kings,40.6625,-73.9145
19,225676,92746 CHARGEPOINT 1,New York,NY,10065,New York,40.7651,-73.9638
40,201870,Central Parking - 109 E 58th Street,New York,NY,10022,New York,40.7571,-73.9657
48,169060,Rapidpark 205 W 101st Street - Tesla Destination,New York,NY,10025,New York,40.7975,-73.9683
49,189547,Kew Garage,Kew Gardens,NY,11415,Queens,40.7069,-73.8297
52,181661,HAMPTON INN STATION 4,Staten Island,NY,10314,Richmond,40.6039,-74.1472
53,189362,Duford Studios,New York,NY,10028,New York,40.7763,-73.9529
55,115074,Parkit 27 N Moore Street - Tesla Destination,New York,NY,10013,New York,40.7185,-74.0025
61,207731,1 WATERLINE STATION#2,New York,NY,10069,New York,40.778,-73.9884
65,150533,528 W 162nd Garage-PARK-it - Tesla Destination,Manhattan,NY,10033,New York,40.8496,-73.9356
78,115113,iPark NYU 377 E 33rd Street - Tesla Destination,New York,NY,10016,New York,40.7443,-73.9781
85,115062,Icon Parking 237 West Thames - Tesla Destination,New York,NY,10280,New York,40.7105,-74.0163
86,221322,Prestige Parking Corp,New York,NY,10022,New York,40.7571,-73.9657
88,220701,Empire Outlets Garage,Staten Island,NY,10301,Richmond,40.6316,-74.0927
93,115151,iPark 530 E 80th Street - Tesla Destination,New York,NY,10075,New York,40.7143,-74.006
106,115076,Standard Parking 270 Greenwich - Tesla Destination,New York,NY,10007,New York,40.7139,-74.007
108,197855,597 Clarkson Ave,Brooklyn,NY,11203,Kings,40.6505,-73.9349
114,115001,iPark 112 E 65th Street - Tesla Destination,New York,NY,10065,New York,40.7651,-73.9638
117,115118,City Parking RL Mercer Street - Tesla Destination,New York,NY,10025,New York,40.7975,-73.9683
119,202164,484 43rd St,Brooklyn,NY,11232,Kings,40.6521,-74.0018
120,217408,35-58 72nd St,Jackson Heights,NY,11372,Queens,40.7513,-73.883
121,115178,Parkright 670 W 43rd Street - Tesla Destination,New York,NY,10036,New York,40.7597,-73.9918
143,225478,ARCHER GREEN MI STATION 1,JAMAICA,NY,11433,Queens,40.6969,-73.7877
147,205826,Northeast Bronx YMCA,Bronx,NY,10466,Bronx,40.8904,-73.8503
148,206908,BORO PARK BORO CHARGE 1,Borough Park,NY,11219,Kings,40.6336,-73.996
151,168757,Enterprise Parking 219 E 69th St - Tesla Destination,New York,NY,10021,New York,40.7685,-73.9588
157,219453,Energy Plus Site 8,New York,NY,10023,New York,40.7764,-73.9827
161,222574,266 13th St,Brooklyn,NY,11215,Kings,40.6669,-73.9828
164,114897,Enterprise 309 Gold Street - Tesla Destination,Brooklyn,NY,11201,Kings,40.694,-73.9903
166,174183,TATABROOKFIELD #6,New York,NY,10044,New York,40.7618,-73.9505
174,223241,550 W. 45th St.,New York,NY,10036,New York,40.7597,-73.9918
181,115042,iPark 200 E 70th Street - Tesla Destination,New York,NY,10021,New York,40.7685,-73.9588
183,191505,5935 Broadway,Bronx,NY,10463,Bronx,40.8798,-73.9067
185,99500,Nissan of Staten Island,Staten Island,NY,10306,Richmond,40.5682,-74.1184
190,114972,Icon Parking 235 W 48th - Tesla Destination,Manhattan,NY,10036,New York,40.7597,-73.9918
193,115033,Quik Park Hudson 180 LLC - Tesla Destination,New York,NY,10069,New York,40.778,-73.9884
194,116808,59 Allen Street - Tesla Supercharger,New York,NY,10002,New York,40.7152,-73.9877
195,115106,Rapidpark 35 E 75th Street - Tesla Destination,New York,NY,10021,New York,40.7685,-73.9588
196,205822,Baychester Retail III LLC,Bronx,NY,10475,Bronx,40.8729,-73.8278
197,187883,Gotham Parking,New York,NY,10036,New York,40.7597,-73.9918
206,115195,Rapidpark 920 Park Avenue - Tesla Destination,New York,NY,10025,New York,40.7975,-73.9683
207,168557,577 Baltic Street - Adam America Real Estate - Tesla Destination,Brooklyn,NY,11217,Kings,40.6816,-73.9798
227,229903,250 Vesey,New York,NY,10281,New York,40.7146,-74.015
233,115128,Icon Parking Sutton 53 - Tesla Destination,New York,NY,10022,New York,40.7571,-73.9657
236,115145,MPG 500 West 30th - Tesla Destination,New York,NY,10001,New York,40.7484,-73.9967
241,115095,Champion Parking W 57th Street - Tesla Destination,New York,NY,10019,New York,40.7651,-73.9858
242,194700,Revel Brooklyn Superhub,Brooklyn,NY,11206,Kings,40.7012,-73.9436
256,115067,iPark NYC 246 E 45 Street - Tesla Destination,New York,NY,10017,New York,40.7517,-73.9707
264,122476,MTP Parking 363 Bond Street - Tesla Destination,Brooklyn,NY,11231,Kings,40.6794,-74.0014
266,189047,Strathmore,New York,NY,10028,New York,40.7763,-73.9529
267,213449,AKAM Associates,Long Island City,NY,11101,Queens,40.7446,-73.9345
269,164680,Icon Parking - Patriot Parking,New York,NY,10013,New York,40.7185,-74.0025
272,150540,One Blue Slip-Greenpoint - Tesla Destination,Brooklyn,NY,11222,Kings,40.7272,-73.9498
276,150660,Icon Parking 515 E 72nd Street - Tesla Destination,New York,NY,10021,New York,40.7685,-73.9588
282,115133,Quik Park West 23rd Street Garage LLC - Tesla Destination,New York,NY,10011,New York,40.7402,-73.9996
288,150584,PV Parking 34-11 Steinway - Tesla Destination,Astoria,NY,11101,Queens,40.7446,-73.9345
293,144109,CITYLIGHTS QUEENS LANDING,Long Island City,NY,11109,Queens,40.7454,-73.9575
295,114997,iPark 107 West 13th Street - Tesla Destination,New York,NY,10011,New York,40.7402,-73.9996
298,230846,GMC 127 East 83rd,Manhattan,NY,10028,New York,40.7763,-73.9529
315,196565,NYC FLEET DCASCSTHSE_3_L3,Middle Village,NY,11379,Queens,40.7173,-73.8792
320,122487,MTP Parking 31-00 47th Ave - Tesla Destination,Long Island City,NY,11101,Queens,40.7446,-73.9345
323,115010,ABM Parking 13 East 54th Street LLC - Tesla Destination,New York,NY,10022,New York,40.7571,-73.9657
339,114890,Standard Parking 15 Metrotech - Tesla Destination,Brooklyn,NY,11201,Kings,40.694,-73.9903
344,114910,"Littleman Driggs Parking, LLC - Tesla Destination",Brooklyn,NY,11211,Kings,40.7095,-73.9563
345,194169,498 E 67th St,New York,NY,10065,New York,40.7651,-73.9638
346,115161,iPark Eleventh Avenue Garage Corp. - Tesla Destination,New York,NY,10001,New York,40.7484,-73.9967
349,206915,BORO PARK BORO CHARGE 8,Borough Park,NY,11219,Kings,40.6336,-73.996
353,187814,Beltmont Parking,New York,NY,10028,New York,40.7763,-73.9529
355,115029,Parkright 169 Ludlow Street - Tesla Destination,New York,NY,10012,New York,40.7255,-73.9983
359,171342,SKYVIEW APARTME SKYVIEW ST2,Riverdale,NY,10471,Bronx,40.9011,-73.9053
361,180141,PANYNJ LGA WEST 4,East Elmhurst,NY,11371,Queens,40.7721,-73.8735
370,115251,PV Parking 40-07 73rd St - Tesla Destination,Woodside,NY,11377,Queens,40.745,-73.9069
388,115166,iPark 59-63 Allen Street - Tesla Destination,New York,NY,10002,New York,40.7152,-73.9877
409,115099,Icon Parking 330 W 58th Street - Tesla Destination,New York,NY,10019,New York,40.7651,-73.9858
411,230188,Riverdale Fast Parking,Bronx,NY,10463,Bronx,40.8798,-73.9067
413,223273,225 W 49th St,New York,NY,10019,New York,40.7651,-73.9858
421,115185,iPark 650 Parking Corp - Tesla Destination,New York,NY,10065,New York,40.7651,-73.9638
428,150571,CenterPark 4172 Broadway - Tesla Destination,Washington Heights,NY,10033,New York,40.8496,-73.9356
438,194845,"Walgreens - Brooklyn, NY #15097",Brooklyn,NY,11215,Kings,40.6669,-73.9828
445,226846,35 Red Cross Pl,Brooklyn,NY,11201,Kings,40.694,-73.9903
446,150596,300 W 135 St - Little Man Parking - Tesla Destination,New York,NY,10030,New York,40.8183,-73.9426
453,169201,"The Standard, East Village - Tesla Destination",New York,NY,10034,New York,40.8662,-73.9221
457,150722,Manhattan Parking 110 LLC - Tesla Destination,New York,NY,10025,New York,40.7975,-73.9683
460,204691,33-10 Queens Blvd,Queens,NY,11101,Queens,40.7446,-73.9345
461,115137,Quikpark 43-08 Crescent Street - Tesla Destination,New York,NY,11101,Queens,40.7446,-73.9345
462,115053,GGMC Parking Seven Eleven (Located at 217 E 44th St) - Tesla Destination,New York,NY,10017,New York,40.7517,-73.9707
464,223268,44 W 62nd St.,New York,NY,10023,New York,40.7764,-73.9827
466,207796,1 WATERLINE STATION#5,New York,NY,10069,New York,40.778,-73.9884
469,223256,435 E. 55th St.,New York,NY,10022,New York,40.7571,-73.9657
471,115155,Standard Parking 800 6th Ave - Tesla Destination,New York,NY,10001,New York,40.7484,-73.9967
474,223278,11 East 86th Street,New York,NY,10028,New York,40.7763,-73.9529
481,206918,BORO PARK BORO CHARGE 2,Borough Park,NY,11219,Kings,40.6336,-73.996
491,115014,Icon Parking 14-26 William Street - Tesla Destination,New York,NY,10004,New York,40.7143,-74.006
494,223836,G & M REALTY 2 STATION 5,LIC,NY,11101,Queens,40.7446,-73.9345
511,115009,Quik Park Garden Lots LLC - Tesla Destination,New York,NY,10001,New York,40.7484,-73.9967
515,114915,Quik Park 81 Fleet Place LLC - Tesla Destination,Brooklyn,NY,11201,Kings,40.694,-73.9903
518,174182,TATABROOKFIELD #7,New York,NY,10044,New York,40.7618,-73.9505
527,115041,Enterprise Parking 200 E 69th St - Tesla Destination,New York,NY,10065,New York,40.7651,-73.9638
533,114906,Park Kwik LLC 50 Washington St. - Tesla Destination,Brooklyn,NY,11201,Kings,40.694,-73.9903
535,187658,NYC FLEET DPRWFMARNA_1_L3,Corona,NY,11368,Queens,40.7453,-73.8611
553,170122,NYC FLEET DPR_ICAHN_1_L3,New York,NY,10035,New York,40.8011,-73.9371
557,115070,Quik Park 40 Riverside Blvd - Tesla Destination,New York,NY,10282,New York,40.7166,-74.0146
558,150578,LAZ Parking 133-59 Roosevelt Ave - Tesla Destination,Flushing,NY,11354,Queens,40.7667,-73.8241
561,115087,Parkit 301 E 64th - Tesla Destination,New York,NY,10065,New York,40.7651,-73.9638
572,124144,Astor Place,New York,NY,10003,New York,40.7313,-73.9892
576,169009,Park Kwik - 211 Atlantic - Tesla Destination,Brooklyn,NY,11201,Kings,40.694,-73.9903
578,115189,"The Standard, High Line - Tesla Destination",New York,NY,10014,New York,40.7339,-74.0054
581,115036,Glenwood Grand Tier Parking - Tesla Destination,New York,NY,10023,New York,40.7764,-73.9827
588,114911,GGMC Parking 66 Rockwell Pl Garage - Tesla Destination,Brooklyn,NY,11217,Kings,40.6816,-73.9798
590,114969,iPark 43-25 Hunter Street - Tesla Destination,Long Island City,NY,11101,Queens,40.7446,-73.9345
604,115080,iPark 3 E 67th Street - Tesla Destination,New York,NY,10065,New York,40.7651,-73.9638
614,115109,GGMC Parking 350 W 43rd Street Garage - Tesla Destination,New York,NY,10036,New York,40.7597,-73.9918
620,114939,MPG The Shops at Skyview - Tesla Destination,Flushing,NY,11354,Queens,40.7667,-73.8241
621,115170,Quik Park 600 West 42nd Street (Silver Towers) LLC - Tesla Destination,New York,NY,10036,New York,40.7597,-73.9918
624,220319,BORO PARK BORO CHARGE 7,Borough Park,NY,11219,Kings,40.6336,-73.996
633,202931,134 N 4th St,Brooklyn,NY,11249,Kings,40.6451,-73.945
635,224508,QT STATION 3,Woodside,NY,11377,Queens,40.745,-73.9069
643,150520,Icon Parking 245 E 19th St. - Tesla Destination,New York,NY,10010,New York,40.7375,-73.9813
644,115075,iPark 455 Central Park West - Tesla Destination,New York,NY,10025,New York,40.7975,-73.9683
654,114990,Rapidpark 600 Columbus Ave - Tesla Destination,New York,NY,10024,New York,40.7864,-73.9764
671,122469,ImPark Underhill Garage - Tesla Destination,Brooklyn,NY,11238,Kings,40.679,-73.9644
675,168984,New York Hospital Queens - Tesla Destination,Flushing,NY,11355,Queens,40.7536,-73.8226
685,115046,Icon Parking 203 E 61 Street - Tesla Destination,New York,NY,10021,New York,40.7685,-73.9588
693,166728,Staten Island Mall,Staten Island,NY,10314,Richmond,40.6039,-74.1472
695,233092,575 1st Ave,New York,NY,10016,New York,40.7443,-73.9781
696,114989,Icon Parking 100 Riverside Blvd. - Tesla Destination,New York,NY,10024,New York,40.7864,-73.9764
704,225479,ARCHER GREEN MI STATION 4,Jamaica,NY,11433,Queens,40.6969,-73.7877
706,115004,ABM Parking 750 Lexington Ave LLC - Tesla Destination,New York,NY,10022,New York,40.7571,-73.9657
707,164738,Central Parking - 146 W 57th St,New York,NY,10019,New York,40.7651,-73.9858
708,153434,Brookfield Place - Tesla Supercharger,New York City,NY,10080,New York,40.7143,-74.006
712,168525,STATION 4TH FL MOTORGATE #2,New York,NY,10044,New York,40.7618,-73.9505
718,115021,Standard Parking 151 W 17th Street - Tesla Destination,New York,NY,10011,New York,40.7402,-73.9996
732,115102,Standard Parking Gateway Plaza Garage - Tesla Destination,New York,NY,10280,New York,40.7105,-74.0163
733,115122,Champion Parking 113 LLC - Tesla Destination,New York,NY,10025,New York,40.7975,-73.9683
734,114902,Quik Park 365 Management LLC - Tesla Destination,Brooklyn,NY,11231,Kings,40.6794,-74.0014
736,223283,55 East End Ave,New York,NY,10028,New York,40.7763,-73.9529
745,188095,UMGI EV1,LIC,NY,11101,Queens,40.7446,-73.9345
750,114896,Standard Parking Pierepoint Plaza - Tesla Destination,Brooklyn,NY,11201,Kings,40.694,-73.9903
755,233084,LGA Airpark,East Elmhurst,NY,11369,Queens,40.7613,-73.8739
757,230831,86-86 Palo Alto St,Hollis,NY,11423,Queens,40.7142,-73.7677
758,114881,Astoria Central Parking - Tesla Destination,Astoria,NY,11106,Queens,40.7608,-73.9295
762,115045,MPG 201 E 56th - Tesla Destination,New York,NY,10022,New York,40.7571,-73.9657
763,150574,Center Park 250 Albany - Tesla Destination,Manhattan,NY,10280,New York,40.7105,-74.0163
766,114973,Icon Parking 360 E 65th - Tesla Destination,Manhattan,NY,10065,New York,40.7651,-73.9638
767,115107,"The Carlyle Hotel, A Rosewood Hotel - Tesla Destination",New York,NY,10021,New York,40.7685,-73.9588
768,150639,Sylvan Gerard Garage - Tesla Destination,Forest Hills,NY,11375,Queens,40.7229,-73.8473
769,115032,Quikpark 173 W 12th Street - Tesla Destination,New York,NY,10011,New York,40.7402,-73.9996
775,115124,Parkit 403 Lafayette St. - Tesla Destination,New York,NY,10003,New York,40.7313,-73.9892
778,168558,610 Warren Street - Tesla Destination,Brooklyn,NY,11217,Kings,40.6816,-73.9798
780,115141,iPark NYC Central Harlem Garage Corp. - Tesla Destination,New York,NY,10026,New York,40.8019,-73.9531
783,150579,LAZ Parking 136-20 38th Ave - Tesla Destination,Flushing,NY,11354,Queens,40.7667,-73.8241
784,44342,Nemet Motors,Jamaica,NY,11432,Queens,40.7119,-73.7944
791,123127,Queens college,Queens,NY,11367,Queens,40.728,-73.8195
796,114974,Icon Parking 205 E 63rd St - Tesla Destination,Manhattan,NY,10065,New York,40.7651,-73.9638
806,115129,Icon Parking Independent - Tesla Destination,New York,NY,10021,New York,40.7685,-73.9588
818,181662,HAMPTON INN STATION 2,Staten Island,NY,10314,Richmond,40.6039,-74.1472
839,199508,831 3rd Ave,Brooklyn,NY,11232,Kings,40.6521,-74.0018
841,166333,LaSalle Parking LLS Shumai LLC (220 E 9th St.),Manhattan,NY,10003,New York,40.7313,-73.9892
843,180166,PANYNJ LGA E GARAGE W1,New York,NY,11371,Queens,40.7721,-73.8735
844,150534,4320 Broadway-PARK-it - Tesla Destination,Manhattan,NY,10033,New York,40.8496,-73.9356
845,152158,Outerbridge Commons - Tesla Supercharger,New York City,NY,10309,Richmond,40.5352,-74.2116
852,223299,181 E 73rd Street,New York,NY,10021,New York,40.7685,-73.9588
854,164681,Icon Parking - One Lincoln Plaza,New York,NY,10023,New York,40.7764,-73.9827
855,221326,First Avenue Parking,New York,NY,10016,New York,40.7443,-73.9781
867,200987,NYU NYU # 2,New York,NY,10012,New York,40.7255,-73.9983
869,114891,Quik Park Armory Parking Inc. - Tesla Destination,Brooklyn,NY,11205,Kings,40.6924,-73.9666
870,102336,E 47th Street - Tesla Supercharger,New York,NY,10017,New York,40.7517,-73.9707
872,114940,Sylvan Pinnacle Garage - Tesla Destination,Forest Hills,NY,11375,Queens,40.7229,-73.8473
873,174184,TATABROOKFIELD #5,New York,NY,10044,New York,40.7618,-73.9505
878,115196,MPG 923 5th Ave - Tesla Destination,New York,NY,10021,New York,40.7685,-73.9588
885,115157,MPG 543 W 110th Street Garage - Tesla Destination,New York,NY,10025,New York,40.7975,-73.9683
887,114985,Icon Parking 1056 5th Avenue - Tesla Destination,New York,NY,10028,New York,40.7763,-73.9529
893,115017,Rapidpark 15 W 72nd Street - Tesla Destination,New York,NY,10023,New York,40.7764,-73.9827
896,115000,GMC 111 E 82nd St - Tesla Destination,New York,NY,10065,New York,40.7651,-73.9638
897,122470,ProPark 184 Kent Ave - Tesla Destination,Brooklyn,NY,11249,Kings,40.6451,-73.945
899,227359,PVECSTATION1 PAKWAY VILLAGE,Jamaica,NY,11435,Queens,40.7029,-73.8111
902,115022,Icon Parking 155 E 29th Street - Tesla Destination,New York,NY,10016,New York,40.7443,-73.9781
905,124141,Coliseum Park Apts - Central Parking,New York,NY,10019,New York,40.7651,-73.9858
915,123040,520806-Rockefeller Center,New York City,NY,10036,New York,40.7597,-73.9918
918,206911,BORO PARK BORO CHARGE 4,Borough Park,NY,11219,Kings,40.6336,-73.996
925,168414,532 W 122nd St,New York,NY,10027,New York,40.8116,-73.955
926,150570,Icon Parking 202 E 18th Street - Tesla Destination,Manhattan,NY,10003,New York,40.7313,-73.9892
927,115061,Champion Parking 230 W 55th Street - Tesla Destination,New York,NY,10019,New York,40.7651,-73.9858
933,146876,Shops at Skyview center,Flushing,NY,11354,Queens,40.7667,-73.8241
935,115162,Icon Parking 560 Third Ave - Tesla Destination,New York,NY,10016,New York,40.7443,-73.9781
936,115079,Parkright 39 E 29th Street - Tesla Destination,New York,NY,10016,New York,40.7443,-73.9781
952,187815,Beekman Parking,New York,NY,10022,New York,40.7571,-73.9657
955,235400,Rockaway Beach Hotel,Rockaway Park,NY,11694,Queens,40.5766,-73.8428
962,115028,iPark NYC E 77th Street - Tesla Destination,New York,NY,10014,New York,40.7339,-74.0054
963,225576,30-10 35th Street,Queens,NY,11103,Queens,40.7627,-73.9149
965,230231,New Tech Energy,Brooklyn,NY,11230,Kings,40.6225,-73.965
967,114919,The William Vale Hotel - Tesla Destination,Brooklyn,NY,11249,Kings,40.6451,-73.945
979,115179,Quik Park Little West LLC - Tesla Destination,New York,NY,10280,New York,40.7105,-74.0163
981,115117,GGMC Parking Carnegie Garage - Tesla Destination,New York,NY,10128,New York,40.7816,-73.9511
987,115054,Icon Parking 220 Riverside Blvd - Tesla Destination,New York,NY,10024,New York,40.7864,-73.9764
991,115088,Icon Parking 308 Greenwich - Tesla Destination,New York,NY,10013,New York,40.7185,-74.0025
1009,115146,Roger Smith Hotel - Tesla Destination,New York,NY,10017,New York,40.7517,-73.9707
1013,223322,DOCK STATION 9,New York,NY,10155,New York,40.7611,-73.968
1016,196566,NYC FLEET DCASCSTHSE_2_L3,Middle Village,NY,11379,Queens,40.7173,-73.8792
